ds,y
2023-01-01,1118
2023-01-02,1600
2023-01-03,1636
2023-01-04,1456
2023-01-05,1512
2023-01-06,1505
2023-01-07,1687
2023-01-08,1358
2023-01-09,1513
2023-01-10,1142
2023-01-11,2325
2023-01-12,2361
2023-01-13,1754
2023-01-14,1459
2023-01-15,1485
2023-01-16,1461
2023-01-17,1521
2023-01-18,1639
2023-01-19,1482
2023-01-20,2781
2023-01-21,1124
2023-01-22,1071
2023-01-23,1417
2023-01-24,1338
2023-01-25,1402
2023-01-26,2488
2023-01-27,1702
2023-01-28,1486
2023-01-29,1064
2023-01-30,1055
2023-01-31,1085
2023-02-01,866
2023-02-02,872
2023-02-03,1860
2023-02-04,1712
2023-02-05,1578
2023-02-06,1713
2023-02-07,1720
2023-02-08,1939
2023-02-09,1711
2023-02-10,1675
2023-02-11,1589
2023-02-12,1297
2023-02-13,957
2023-02-14,1025
2023-02-15,1050
2023-02-16,1001
2023-02-17,909
2023-02-18,899
2023-02-19,826
2023-02-20,976
2023-02-21,849
2023-02-22,797
2023-02-23,773
2023-02-24,819
2023-02-25,789
2023-02-26,678
2023-02-27,771
2023-02-28,988
2023-03-01,1064
2023-03-02,975
2023-03-03,867
2023-03-04,827
2023-03-05,739
2023-03-06,742
2023-03-07,756
2023-03-08,766
2023-03-09,772
2023-03-10,825
2023-03-11,635
2023-03-12,626
2023-03-13,749
2023-03-14,804
2023-03-15,1064
2023-03-16,1121
2023-03-17,930
2023-03-18,869
2023-03-19,924
2023-03-20,1255
2023-03-21,1260
2023-03-22,1238
2023-03-23,1065
2023-03-24,1092
2023-03-25,921
2023-03-26,1016
2023-03-27,1135
2023-03-28,818
2023-03-29,742
2023-03-30,729
2023-03-31,696
2023-04-01,640
2023-04-02,592
2023-04-03,731
2023-04-04,662
2023-04-05,779
2023-04-06,717
2023-04-07,618
2023-04-08,766
2023-04-09,638
2023-04-10,691
2023-04-11,674
2023-04-12,904
2023-04-13,939
2023-04-14,919
2023-04-15,889
2023-04-16,967
2023-04-17,1034
2023-04-18,1067
2023-04-19,1091
2023-04-20,902
2023-04-21,876
2023-04-22,794
2023-04-23,736
2023-04-24,1230
2023-04-25,1279
2023-04-26,1157
2023-04-27,1141
2023-04-28,1096
2023-04-29,976
2023-04-30,1180
2023-05-01,1018
2023-05-02,870
2023-05-03,980
2023-05-04,948
2023-05-05,937
2023-05-06,812
2023-05-07,765
2023-05-08,938
2023-05-09,1079
2023-05-10,1091
2023-05-11,993
2023-05-12,909
2023-05-13,739
2023-05-14,700
2023-05-15,999
2023-05-16,1172
2023-05-17,1149
2023-05-18,986
2023-05-19,990
2023-05-20,930
2023-05-21,1210
2023-05-22,1383
2023-05-23,1471
2023-05-24,1324
2023-05-25,967
2023-05-26,1117
2023-05-27,1040
2023-05-28,1068
2023-05-29,1172
2023-05-30,1009
2023-05-31,876
2023-06-01,839
2023-06-02,779
2023-06-03,878
2023-06-04,868
2023-06-05,872
2023-06-06,903
2023-06-07,845
2023-06-08,794
2023-06-09,781
2023-06-10,703
2023-06-11,723
2023-06-12,754
2023-06-13,928
2023-06-14,934
2023-06-15,931
2023-06-16,990
2023-06-17,918
2023-06-18,721
2023-06-19,897
2023-06-20,994
2023-06-21,941
2023-06-22,1080
2023-06-23,929
2023-06-24,736
2023-06-25,789
2023-06-26,1811
2023-06-27,1771
2023-06-28,1425
2023-06-29,1183
2023-06-30,1225
2023-07-01,1176
2023-07-02,1119
2023-07-03,1393
2023-07-04,1246
2023-07-05,1130
2023-07-06,1242
2023-07-07,1146
2023-07-08,1119
2023-07-09,1660
2023-07-10,1511
2023-07-11,1362
2023-07-12,828
2023-07-13,1879
2023-07-14,1685
2023-07-15,1207
2023-07-16,1145
2023-07-17,1351
2023-07-18,1192
2023-07-19,951
2023-07-20,871
2023-07-21,912
2023-07-22,860
2023-07-23,597
2023-07-24,777
2023-07-25,1044
2023-07-26,1135
2023-07-27,1007
2023-07-28,785
2023-07-29,672
2023-07-30,1283
2023-07-31,1044
2023-08-01,1017
2023-08-02,1023
2023-08-03,932
2023-08-04,942
2023-08-05,750
2023-08-06,689
2023-08-07,736
2023-08-08,611
2023-08-09,623
2023-08-10,543
2023-08-11,508
2023-08-12,493
2023-08-13,460
2023-08-14,546
2023-08-15,579
2023-08-16,918
2023-08-17,794
2023-08-18,646
2023-08-19,520
2023-08-20,428
2023-08-21,440
2023-08-22,566
2023-08-23,631
2023-08-24,571
2023-08-25,504
2023-08-26,440
2023-08-27,491
2023-08-28,528
2023-08-29,605
2023-08-30,570
2023-08-31,536
